iter	RMSE
0	1.260415673
1	1.255564623
2	1.251024162
3	1.247179981
4	1.243355795
5	1.239803907
6	1.236589208
7	1.233673687
8	1.231254481
9	1.228722427
10	1.226613194
11	1.224670273
12	1.22300783
13	1.221303993
14	1.219987584
15	1.218575616
16	1.217469619
17	1.216397418
18	1.215417867
19	1.214470912
20	1.213662877
21	1.212959564
22	1.212159722
23	1.211375698
24	1.210654104
25	1.209949645
26	1.20935335
27	1.208713259
28	1.208178727
29	1.207654122
30	1.207125037
31	1.206693575
32	1.206194706
33	1.205714457
34	1.205325273
35	1.204990161
36	1.204601721
37	1.20416256
38	1.203890158
39	1.203559398
40	1.203187643
41	1.202780389
42	1.202469689
43	1.202136008
44	1.20176488
45	1.201464219
46	1.201275672
47	1.201046545
48	1.200759108
49	1.200564482
50	1.200319562
51	1.199920495
52	1.19972061
53	1.199462626
54	1.199051546
55	1.198750184
56	1.198304053
57	1.198074755
58	1.197809229
59	1.19755162
60	1.197223365
61	1.196869259
62	1.196591925
63	1.196423024
64	1.196170651
65	1.195918558
66	1.195757508
67	1.195527149
68	1.195272687
69	1.195013844
70	1.194755972
71	1.194540717
72	1.194261731
73	1.193979611
74	1.193768581
75	1.193576507
76	1.193420168
77	1.193150412
78	1.192933762
79	1.192630675
80	1.192333383
81	1.192163143
82	1.191802921
83	1.191720153
84	1.191460934
85	1.191219585
86	1.19081051
87	1.190471556
88	1.190397812
89	1.190061482
90	1.189897004
91	1.189651213
92	1.189499515
93	1.189262858
94	1.188989202
95	1.188732561
96	1.18846268
97	1.188253614
98	1.188047024
99	1.187650141
100	1.18751254
101	1.187346175
102	1.187125293
103	1.186897464
104	1.186766346
105	1.186529509
106	1.186195924
107	1.186045011
108	1.185812541
109	1.185443969
110	1.185229878
111	1.185127843
112	1.184944664
113	1.184817543
114	1.184401612
115	1.184223955
116	1.184012965
117	1.18370544
118	1.183495172
119	1.183363702
120	1.183198279
121	1.183006277
122	1.182802528
123	1.18259893
124	1.182306458
125	1.182153981
126	1.18191352
127	1.181711504
128	1.181548492
129	1.181282417
130	1.181092941
131	1.180862021
132	1.180701059
133	1.180447903
134	1.180250328
135	1.180116346
136	1.180005488
137	1.179798857
138	1.179658536
139	1.179521537
140	1.179282691
141	1.179078372
142	1.178824259
143	1.178714672
144	1.17845228
145	1.178364027
146	1.178048844
147	1.177724806
148	1.177530479
149	1.177267406
150	1.177120338
151	1.176909405
152	1.176790891
153	1.17652611
154	1.176387765
155	1.175902789
156	1.175643883
157	1.175423535
158	1.175360951
159	1.175069731
160	1.174926946
161	1.174732619
162	1.174356487
163	1.174289646
164	1.174032254
165	1.173728119
166	1.17349819
167	1.173282224
168	1.173162471
169	1.172877427
170	1.172773796
171	1.17258312
172	1.172319624
173	1.172156892
174	1.171987484
175	1.171847691
176	1.171659512
177	1.171464176
178	1.171239628
179	1.171089731
180	1.170847789
181	1.170747956
182	1.170682963
183	1.170336308
184	1.17019307
185	1.16998912
186	1.16970124
187	1.169448054
188	1.169212731
189	1.16906225
190	1.168985799
191	1.168822346
192	1.168550373
193	1.168291328
194	1.168050023
195	1.16790965
196	1.167554689
197	1.16737357
198	1.16726298
199	1.166950261
200	1.166874087
201	1.166585664
202	1.16648517
203	1.16634154
204	1.166182168
205	1.165967902
206	1.165881685
207	1.165747094
208	1.165358884
209	1.165079258
210	1.164859945
211	1.164775433
212	1.164644565
213	1.164080078
214	1.163944994
215	1.163833464
216	1.163765036
217	1.163573605
218	1.163465315
219	1.163379019
220	1.163019956
221	1.162842948
222	1.162548338
223	1.162254566
224	1.161909241
225	1.16166189
226	1.161489722
227	1.161318286
228	1.161155885
229	1.160928973
230	1.160804513
231	1.160553177
232	1.160300497
233	1.160202761
234	1.159854426
235	1.159558175
236	1.159184661
237	1.1589948
238	1.158747645
239	1.158629496
240	1.15848687
241	1.158131233
242	1.157961464
243	1.157724209
244	1.157429618
245	1.157142476
246	1.156819251
247	1.156522287
248	1.156319946
249	1.156062739
250	1.155914995
251	1.155639942
252	1.155525523
253	1.155468315
254	1.155345935
255	1.155047683
256	1.154961411
257	1.154846281
258	1.154711944
259	1.154495622
260	1.154260793
261	1.154006895
262	1.153814485
263	1.153627024
264	1.153347195
265	1.153251329
266	1.153041553
267	1.15278492
268	1.152383299
269	1.152153741
270	1.151837863
271	1.151625005
272	1.151390918
273	1.15132484
274	1.151205513
275	1.151049045
276	1.150888363
277	1.150785741
278	1.150362728
279	1.150094167
280	1.149901945
281	1.149504863
282	1.14928177
283	1.149011087
284	1.148842694
285	1.148640242
286	1.148282998
287	1.148069887
288	1.147884926
289	1.147411885
290	1.147074894
291	1.146807417
292	1.146553612
293	1.146438328
294	1.146336438
295	1.14614998
296	1.145850794
297	1.14562689
298	1.145425752
299	1.145290862
300	1.145112647
301	1.144907275
302	1.144580085
303	1.144172113
304	1.144039439
305	1.144004676
306	1.143761629
307	1.143446732
308	1.143181757
309	1.142943499
310	1.142696494
311	1.142280535
312	1.141917919
313	1.141712442
314	1.141559855
315	1.141322344
316	1.141215347
317	1.141170648
318	1.140990967
319	1.140686563
320	1.140542839
321	1.140313697
322	1.140203916
323	1.140083592
324	1.139761088
325	1.139513332
326	1.139357358
327	1.139083145
328	1.138797323
329	1.138702799
330	1.138511428
331	1.138151746
332	1.137959722
333	1.137860878
334	1.13769567
335	1.137448066
336	1.137244782
337	1.136990287
338	1.136629284
339	1.136515114
340	1.136434471
341	1.136317825
342	1.13582438
343	1.135703572
344	1.135457565
345	1.135249971
346	1.134973916
347	1.134769919
348	1.134569509
349	1.134530478
