iter	Passed	Remaining
0	47	47321
1	50	25028
2	53	17660
3	55	13930
4	58	11711
5	61	10258
6	65	9247
7	68	8437
8	70	7763
9	73	7227
10	75	6800
11	78	6501
12	81	6215
13	84	5950
14	90	5943
15	95	5845
16	98	5710
17	101	5525
18	103	5358
19	107	5247
20	110	5170
21	113	5058
22	116	4944
23	118	4837
24	121	4741
25	124	4668
26	127	4584
27	131	4561
28	137	4597
29	140	4552
30	143	4485
31	146	4417
32	148	4351
33	151	4290
34	153	4232
35	156	4192
36	163	4247
37	168	4260
38	172	4255
39	175	4209
40	178	4163
41	183	4187
42	188	4194
43	193	4208
44	196	4165
45	198	4123
46	202	4113
47	208	4140
48	211	4112
49	215	4092
50	217	4056
51	221	4039
52	227	4057
53	230	4031
54	234	4024
55	240	4052
56	245	4061
57	250	4064
58	254	4064
59	257	4032
60	261	4028
61	268	4056
62	270	4028
63	273	3998
64	275	3968
65	282	4002
66	286	3983
67	292	4002
68	298	4026
69	301	4004
70	305	4003
71	310	4001
72	313	3978
73	316	3958
74	319	3934
75	321	3909
76	324	3885
77	326	3861
78	329	3839
79	332	3820
80	335	3806
81	337	3783
82	340	3760
83	342	3739
84	349	3762
85	353	3751
86	356	3743
87	359	3723
88	363	3720
89	366	3701
90	368	3682
91	371	3663
92	373	3644
93	376	3626
94	380	3623
95	382	3605
96	385	3588
97	387	3570
98	390	3552
99	392	3535
100	397	3541
101	404	3559
102	410	3578
103	417	3596
104	422	3601
105	425	3587
106	428	3572
107	430	3556
108	433	3546
109	436	3532
110	439	3517
111	442	3507
112	444	3492
113	447	3477
114	451	3474
115	453	3459
116	456	3444
117	460	3444
118	464	3437
119	470	3446
120	476	3462
121	481	3466
122	485	3461
123	488	3448
124	493	3453
125	499	3465
126	503	3462
127	509	3473
128	512	3461
129	515	3448
130	518	3441
131	521	3430
132	524	3418
133	527	3405
134	530	3400
135	535	3399
136	540	3401
137	543	3394
138	549	3401
139	552	3391
140	556	3388
141	558	3377
142	561	3364
143	563	3352
144	566	3339
145	569	3328
146	571	3316
147	574	3305
148	578	3303
149	580	3291
150	584	3283
151	586	3274
152	589	3263
153	592	3252
154	594	3242
155	597	3231
156	599	3221
157	602	3210
158	604	3199
159	607	3188
160	609	3178
161	614	3176
162	618	3177
163	624	3185
164	627	3175
165	630	3166
166	635	3171
167	639	3167
168	645	3175
169	650	3174
170	652	3164
171	655	3154
172	657	3144
173	661	3138
174	664	3134
175	667	3124
176	672	3124
177	677	3129
178	681	3124
179	685	3122
180	687	3112
181	690	3102
182	693	3094
183	696	3089
184	699	3079
185	701	3070
186	704	3060
187	706	3051
188	708	3042
189	711	3034
190	714	3027
191	717	3018
192	720	3012
193	726	3020
194	730	3017
195	733	3009
196	738	3008
197	744	3016
198	747	3010
199	751	3006
200	755	3001
201	758	2995
202	761	2989
203	764	2981
204	766	2972
205	769	2964
206	772	2959
207	775	2953
208	778	2946
209	782	2943
210	785	2935
211	789	2932
212	793	2931
213	796	2924
214	798	2916
215	801	2908
216	804	2903
217	808	2900
218	811	2892
219	813	2884
220	815	2876
221	818	2868
222	821	2860
223	824	2857
224	827	2851
225	831	2848
226	834	2840
227	836	2833
228	839	2827
229	843	2825
230	847	2820
231	850	2816
232	854	2812
233	858	2810
234	861	2804
235	864	2797
236	867	2794
237	870	2787
238	875	2786
239	879	2786
240	882	2779
241	884	2771
242	888	2767
243	891	2760
244	893	2753
245	895	2746
246	898	2739
247	901	2732
248	904	2729
249	909	2729
250	912	2723
251	916	2719
252	920	2717
253	922	2710
254	925	2704
255	928	2697
256	932	2696
257	936	2693
258	939	2689
259	942	2682
260	945	2676
261	947	2669
262	950	2664
263	954	2659
264	957	2655
265	959	2648
266	963	2646
267	967	2642
268	970	2637
269	973	2630
270	975	2625
271	980	2623
272	984	2620
273	986	2614
274	989	2609
275	993	2604
276	996	2600
277	999	2596
278	1002	2591
279	1005	2586
280	1008	2579
281	1011	2574
282	1015	2572
283	1019	2569
284	1022	2564
285	1024	2558
286	1027	2552
287	1030	2547
288	1034	2545
289	1037	2540
290	1040	2535
291	1043	2530
292	1047	2527
293	1049	2520
294	1052	2514
295	1055	2509
296	1057	2504
297	1060	2497
298	1064	2495
299	1068	2493
300	1072	2489
301	1076	2487
302	1080	2485
303	1082	2479
304	1085	2473
305	1087	2466
306	1090	2462
307	1094	2458
308	1097	2455
309	1100	2449
310	1103	2443
311	1106	2439
312	1109	2435
313	1112	2429
314	1114	2424
315	1117	2419
316	1120	2413
317	1122	2407
318	1126	2405
319	1130	2401
320	1132	2396
321	1135	2391
322	1138	2387
323	1141	2382
324	1146	2380
325	1150	2377
326	1153	2373
327	1156	2368
328	1158	2363
329	1161	2357
330	1163	2352
331	1166	2346
332	1168	2340
333	1171	2335
334	1174	2331
335	1178	2328
336	1181	2324
337	1185	2321
338	1189	2318
339	1191	2313
340	1194	2308
341	1198	2306
342	1202	2302
343	1205	2298
344	1208	2295
345	1212	2291
346	1216	2288
347	1219	2284
348	1222	2280
349	1225	2275
350	1228	2271
351	1232	2269
352	1235	2264
353	1239	2262
354	1242	2257
355	1245	2252
356	1249	2249
357	1251	2244
358	1255	2241
359	1258	2236
360	1262	2235
361	1266	2231
362	1269	2227
363	1272	2223
364	1276	2220
365	1280	2217
366	1283	2214
367	1286	2209
368	1291	2208
369	1294	2203
370	1296	2198
371	1299	2193
372	1302	2189
373	1304	2184
374	1307	2179
375	1310	2174
376	1313	2170
377	1316	2167
378	1320	2164
379	1324	2160
380	1327	2156
381	1330	2153
382	1334	2150
383	1337	2145
384	1339	2140
385	1342	2136
386	1345	2131
387	1348	2127
388	1351	2122
389	1354	2118
390	1358	2115
391	1362	2112
392	1366	2110
393	1370	2107
394	1374	2105
395	1378	2102
396	1381	2098
397	1383	2093
398	1386	2088
399	1389	2083
400	1392	2079
401	1396	2076
402	1400	2074
403	1403	2070
404	1406	2065
405	1409	2062
406	1413	2059
407	1415	2054
408	1418	2049
409	1422	2046
410	1424	2041
411	1427	2036
412	1430	2032
413	1432	2028
414	1435	2023
415	1438	2019
416	1442	2017
417	1446	2013
418	1450	2011
419	1453	2006
420	1456	2002
421	1458	1997
422	1461	1993
423	1465	1990
424	1468	1986
425	1471	1983
426	1474	1979
427	1477	1975
428	1480	1970
429	1483	1966
430	1487	1963
431	1490	1960
432	1494	1956
433	1496	1951
434	1500	1948
435	1504	1945
436	1507	1942
437	1510	1937
438	1512	1933
439	1516	1930
440	1519	1926
441	1522	1922
442	1527	1920
443	1530	1916
444	1534	1913
445	1537	1910
446	1541	1906
447	1543	1902
448	1546	1898
449	1550	1894
450	1552	1890
451	1556	1886
452	1559	1882
453	1562	1879
454	1566	1876
455	1570	1873
456	1573	1869
457	1575	1865
458	1579	1862
459	1582	1857
460	1587	1855
461	1589	1851
462	1592	1846
463	1594	1842
464	1597	1837
465	1601	1834
466	1605	1832
467	1608	1828
468	1611	1824
469	1614	1820
470	1616	1815
471	1619	1811
472	1624	1809
473	1628	1806
474	1631	1803
475	1635	1799
476	1637	1795
477	1641	1792
478	1643	1787
479	1646	1783
480	1649	1779
481	1653	1776
482	1656	1772
483	1659	1769
484	1662	1764
485	1664	1760
486	1666	1755
487	1670	1752
488	1674	1749
489	1677	1745
490	1681	1742
491	1684	1738
492	1686	1734
493	1689	1730
494	1693	1728
495	1696	1723
496	1700	1720
497	1702	1716
498	1705	1712
499	1709	1709
500	1711	1704
501	1714	1701
502	1717	1697
503	1720	1693
504	1723	1689
505	1727	1686
506	1730	1682
507	1733	1678
508	1736	1674
509	1738	1670
510	1741	1666
511	1743	1662
512	1746	1657
513	1751	1655
514	1755	1653
515	1758	1649
516	1762	1646
517	1766	1643
518	1770	1640
519	1772	1636
520	1775	1632
521	1778	1628
522	1781	1624
523	1784	1620
524	1789	1618
525	1792	1615
526	1796	1612
527	1799	1608
528	1801	1604
529	1804	1599
530	1806	1595
